Date,SID/Type,Method,Inhibition,Cuv Temp,Flag,逐小时气温 (°C),天气状况,风向风力,日最高温,日最低温,相对湿度,"line1_inflow_flow
（1号线路进水流量）",line2_inflow_flow（2号线路进水流量）,line3_inflow_flow（3号线路进水流量）,turntable1_tank_temperature_t1（转盘1水箱温度计T1）,turntable2_tank_temperature_t2（转盘2水箱温度计T2）,turntable3_tank_temperature_t3（转盘3水箱温度计T3）,turntable1_frequency_feedback（转盘1频率反馈）,turntable2_frequency_feedback（转盘2频率反馈）,turntable3_frequency_feedback（转盘3频率反馈）,turntable1_run_time（转盘1已运行时间）,turntable2_run_time（转盘2已运行时间）,turntable3_run_time（转盘3已运行时间）,watersupply1_totalflow（供水1累计流量）,watersupply2_totalflow（供水2累计流量）,watersupply3_totalflow（供水3累计流量）,total_inflow_ammonia（总进水氨氮）,total_inflow_nitrate（总进水硝氮）,total_inflow_ph（总进水pH）,total_outflow_ammonia（总出水氨氮）,total_outflow_nitrate（总出水硝氮）,total_outflow_ph（总出水pH）,turntable1_out_ammonia（转盘水箱1出水氨氮）,turntable1_out_nitrate（转盘水箱1出水硝氮）,turntable1_out_ph（转盘水箱1出水pH）,turntable2_out_ammonia（转盘水箱2出水氨氮）,turntable2_out_nitrate（转盘水箱2出水硝氮）,turntable2_out_ph（转盘水箱2出水pH）,turntable3_out_ammonia（转盘水箱3出水氨氮）,turntable3_out_nitrate（转盘水箱3出水硝氮）,turntable3_out_ph（转盘水箱3出水pH）,outflow_inhibition_rate（出水抑制率）,inflow_inhibition_rate（进水抑制率）,box1_toxicity（1箱毒性）,box2_toxicity（2箱毒性）,box3_toxicity（3箱毒性）,总进水温度,1箱出水温度,2箱出水温度,MBR溶解氧,MBR水箱温度,MBR跨膜压差,风机运行状态,SID
2025-11-10 20:00:00,Sample1,总进水毒性,12.071505,24.6,,14,晴,静风,21,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 20:05:00,Sample2,水箱1出水毒性,8.093623,24.3,,14,晴,静风,21,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 20:15:00,Sample2,水箱2出水毒性,-2.117174,24.6,,14,晴,静风,21,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 20:25:00,Sample2,水箱3出水毒性,7.690243,24.3,,14,晴,静风,21,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 20:35:00,Sample2,水箱1出水毒性,2.247233,24.7,,14,晴,静风,21,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 20:45:00,Sample2,水箱2出水毒性,9.80092,24.3,,14,晴,静风,21,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 20:55:00,Sample2,水箱3出水毒性,-7.632379,24.4,,14,晴,静风,21,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 21:00:00,Sample1,总进水毒性,-0.474412,24.3,,13,晴,静风,21,10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 21:05:00,Sample2,水箱1出水毒性,8.435575,24.4,,13,晴,静风,21,10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 21:15:00,Sample2,水箱2出水毒性,1.274934,24.3,,13,晴,静风,21,10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 21:25:00,Sample2,水箱3出水毒性,-10.35101,24.3,,13,晴,静风,21,10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 21:35:00,Sample2,水箱1出水毒性,-2.715656,24.7,,13,晴,静风,21,10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 21:45:00,Sample2,水箱2出水毒性,-1.082657,24.3,,13,晴,静风,21,10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 21:55:00,Sample2,水箱3出水毒性,1.178279,24.3,,13,晴,静风,21,10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 22:00:00,Sample1,总进水毒性,16.764132,24.3,,13,晴,静风,21,10,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 22:05:00,Sample2,水箱1出水毒性,7.29825,24.3,,13,晴,静风,21,10,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 22:15:00,Sample2,水箱2出水毒性,-0.203252,24.4,,13,晴,静风,21,10,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 22:25:00,Sample2,水箱3出水毒性,-9.045215,24.4,,13,晴,静风,21,10,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 10:00:00,Sample1,总进水毒性,4.490536,24.3,,19,晴,南风 3级,23,11,0.55,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 10:05:00,Sample2,水箱1出水毒性,-21.697603,24.3,,19,晴,南风 3级,23,11,0.55,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 10:15:00,Sample2,水箱2出水毒性,-1.299299,24.6,,19,晴,南风 3级,23,11,0.55,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 10:25:00,Sample2,水箱3出水毒性,-20.998047,24.3,,19,晴,南风 3级,23,11,0.55,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 10:35:00,Sample2,水箱1出水毒性,3.007535,24.7,,19,晴,南风 3级,23,11,0.55,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 10:45:00,Sample2,水箱2出水毒性,-5.981477,24.4,,19,晴,南风 3级,23,11,0.55,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 10:55:00,Sample2,水箱3出水毒性,7.099594,24.7,,19,晴,南风 3级,23,11,0.55,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 11:05:00,Sample2,水箱1出水毒性,5.820565,24.6,,20,晴,南风 3级,23,11,0.5,0.0,0.0,0.0,20.5,20.2,20.5,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 11:15:00,Sample2,水箱2出水毒性,1.458623,24.3,,20,晴,南风 3级,23,11,0.5,0.0,0.0,0.0,20.4,20.1,20.4,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 11:25:00,Sample2,水箱3出水毒性,13.816325,24.7,,20,晴,南风 3级,23,11,0.5,0.0,0.0,0.0,20.3,20.1,20.3,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 11:35:00,Sample2,水箱1出水毒性,-6.830629,24.3,,20,晴,南风 3级,23,11,0.5,0.0,0.0,0.0,20.3,20.0,20.3,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 11:45:00,Sample2,水箱2出水毒性,2.448257,24.6,,20,晴,南风 3级,23,11,0.5,0.0,0.0,0.0,20.2,20.0,20.2,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 11:55:00,Sample2,水箱3出水毒性,12.809542,24.3,,20,晴,南风 3级,23,11,0.5,0.0,0.0,0.0,20.2,19.9,20.2,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 12:05:00,Sample2,水箱1出水毒性,4.424803,24.3,,21,晴,南风 3级,23,11,0.45,0.0,0.0,0.0,20.6,19.9,20.1,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 12:15:00,Sample2,水箱2出水毒性,-9.366647,24.5,,21,晴,南风 3级,23,11,0.45,0.0,0.0,0.0,20.1,19.9,20.1,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 12:25:00,Sample2,水箱3出水毒性,-10.577805,24.6,,21,晴,南风 3级,23,11,0.45,0.0,0.0,0.0,19.7,19.9,20.1,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 12:35:00,Sample2,水箱1出水毒性,2.860758,24.4,,21,晴,南风 3级,23,11,0.45,0.0,0.0,0.0,19.6,19.9,20.1,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 12:45:00,Sample2,水箱2出水毒性,22.204876,24.7,,21,晴,南风 3级,23,11,0.45,0.0,0.0,0.0,19.6,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 13:00:00,Sample1,总进水毒性,9.066429,24.5,,22,晴,南风 3级,23,11,0.42,0.0,0.0,0.0,19.6,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 13:05:00,Sample2,水箱1出水毒性,17.708851,24.4,,22,晴,南风 3级,23,11,0.42,0.0,0.0,0.0,19.6,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 13:15:00,Sample2,水箱2出水毒性,12.725776,24.3,,22,晴,南风 3级,23,11,0.42,0.0,0.0,0.0,19.6,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 13:25:00,Sample2,水箱3出水毒性,14.243523,24.7,,22,晴,南风 3级,23,11,0.42,0.0,0.0,0.0,19.6,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 13:35:00,Sample2,水箱1出水毒性,11.642379,24.5,,22,晴,南风 3级,23,11,0.42,0.0,0.0,0.0,19.6,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 13:45:00,Sample2,水箱2出水毒性,15.850969,24.4,,22,晴,南风 3级,23,11,0.42,0.0,0.0,0.0,19.5,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 13:55:00,Sample2,水箱3出水毒性,14.298954,24.7,,22,晴,南风 3级,23,11,0.42,0.0,0.0,0.0,19.5,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 14:00:00,Sample1,总进水毒性,13.486976,24.4,,23,晴,南风 3级,23,11,0.4,0.0,0.0,0.0,19.5,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 14:05:00,Sample2,水箱1出水毒性,3.942652,24.5,,23,晴,南风 3级,23,11,0.4,0.0,0.0,0.0,19.5,19.9,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 14:45:00,Sample2,水箱2出水毒性,27.826666,24.7,,23,晴,南风 3级,23,11,0.4,0.0,0.0,0.0,19.5,20.0,20.0,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 14:55:00,Sample2,水箱3出水毒性,-24.856432,24.7,,23,晴,南风 3级,23,11,0.4,0.0,0.0,0.0,19.5,20.0,20.1,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 15:00:00,Sample1,总进水毒性,5.892241,24.4,,23,晴,南风 3级,23,11,0.4,0.0,0.0,0.0,19.5,20.0,20.1,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 15:05:00,Sample2,水箱1出水毒性,-3.282717,24.4,,23,晴,南风 3级,23,11,0.4,0.0,0.0,0.0,19.5,20.0,20.1,0.0,0.0,0.0,,,,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
